finding_id	report	source_repo	source_paths	finding	disposition	preservation_evidence	future_verification
R12-D07	12#7	spicy-regs; spicy-regs-landing	conformance/rulespec-l0.yaml; fixtures/; src/spicy_regs/fixtures/rulespec/	Historical Rulespec, L0 corpus, evidence, candidate-release, and schema-set identities preserve byte-for-byte replay of an abandoned candidate, while current Rulespec and DocSpec retain the conformance behaviors.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle; source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Verify historical fixture digests only for replay; current conformance must use current Rulespec and DocSpec releases.
R12-D08	12#8	spicy-regs	policies/source-profile-catalog-v0.json; policies/profile-resource-applicability-v0.json	Experimental policies preserve the historical mapping of 19 source tables to extraction modes and 26 resource applications, but stale RefSpec identity and newer ownership decisions make them lineage rather than authority.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Validate the historical files for archive integrity and require a new current policy and approval before any use.
R12-M01	12-manifest#1	spicy-regs-landing; spicy-regs	docs/migration/spicysearch-product-migration-manifest.json; src/spicy_regs/cli.py	The manifest correctly keeps local case-folded Parquet substring search until equivalent task proof, but exact docket, document, and comment consumers remain unmeasured.	copy	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle; source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run a pinned cutover fixture over all three result types and measure consumers before retirement.
R12-M02	12-manifest#2	spicy-regs	src/spicy_regs/transforms/build_search_index.py; .github/workflows/rollup-docket-search.yml	The daily client-side MiniSearch docket index remains a live origin/main serving surface pending SpicySearch replacement or explicit retirement.	durable-current-reference	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:src/spicy_regs/transforms/build_search_index.py; spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:.github/workflows/rollup-docket-search.yml	Measure current clients and prove equivalent SearchSnapshot behavior before retirement.
R12-M03	12-manifest#3	spicy-regs-landing; spicysearch	docs/migration/spicysearch-product-migration-manifest.json; src/spicy_regs/vectordb/embed.py; docs/decisions/0004-semantic-enablement.md	Semantic retrieval remains SpicySearch-owned, but the manifest's docket, document, and comment embedding scope is superseded because comments cannot enter current candidate generation or ranking.	superseded	spicysearch@027a79cebf59:docs/decisions/0004-semantic-enablement.md; spicysearch@027a79cebf59:src/spicysearch/semantic_lane.py; spicysearch@027a79cebf59:src/spicysearch/backends/semantic_vector.py	Rerun current semantic sealed-verdict and eligibility gates; any comment lane requires a new decision.
R12-M04	12-manifest#4	spicy-regs	notebooks/search_capabilities.ipynb; notebooks/vector_search.ipynb	Exploratory full-text and vector notebooks remain historical research evidence on origin/main and are not release authority.	durable-current-reference	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:notebooks/search_capabilities.ipynb; spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:notebooks/vector_search.ipynb	Pin inputs before reproducing outputs; mutable public URLs cannot support exact historical claims.
R12-M05	12-manifest#5	spicy-regs	src/spicy_regs/mcp_server.py; README.md	MCP source listing, table description, and raw SQL remain SpicyRegs diagnostics while search operations belong to SpicySearch.	durable-current-reference	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:src/spicy_regs/mcp_server.py; spicysearch@027a79cebf59:docs/decisions/0001-four-product-boundary.md	Verify current MCP diagnostics and SpicySearch API boundaries independently before changing either surface.
R12-M06	12-manifest#6	spicy-regs-landing; DocSpec; RefSpec	docs/migration/spicysearch-product-migration-manifest.json; src/spicy_regs/docpipeline/source.py; docs/decisions.md REF-048	The dirty August 27 manifest correctly moves exact capture, representations, segmentation, and DocumentRelease to DocSpec; the older status text is superseded by implemented current ownership.	superseded	RefSpec@3464bda29d08:docs/decisions.md; DocSpec@444f8ec283a7:src/docspec/domain/content.py; DocSpec@444f8ec283a7:src/docspec/processing/segmentation.py; DocSpec@444f8ec283a7:src/docspec/domain/release.py	Rerun DocSpec package-boundary, capture, mapping, segmentation, and release tests; separately assess report-11 gaps.
R12-M07	12-manifest#7	spicy-regs-landing; DocSpec	docs/migration/spicysearch-product-migration-manifest.json; src/spicy_regs/docpipeline/segments.py	Processing-segment construction is now DocSpec-owned under REF-048, not a Rulespec Extrapolator responsibility as the manifest states.	superseded	RefSpec@3464bda29d08:docs/decisions.md; DocSpec@444f8ec283a7:src/docspec/processing/segmentation.py; DocSpec@444f8ec283a7:src/docspec/domain/content.py	Rerun current segmentation and source-mapping tests; tokenizer-packing parity remains a separate copied finding.
R12-M08	12-manifest#8	spicy-regs-landing; DocSpec; rulespec; spicysearch	docs/migration/spicysearch-product-migration-manifest.json; src/spicy_regs/docpipeline/extraction.py; src/spicy_regs/docpipeline/tag_task.py; src/spicy_regs/docpipeline/runtime.py	The mixed runtime must split: DocSpec constructs segments, Rulespec Extrapolator owns evidence-bound logical structuring, and SpicySearch owns snapshot topic tagging; baseline approval remains parked.	superseded	DocSpec@444f8ec283a7:src/docspec/processing/segmentation.py; rulespec@93ae44d906be:release-records/schemas/extrapolation-release-v2.schema.json; spicysearch@027a79cebf59:src/spicysearch/topic_tags.py; spicysearch@027a79cebf59:docs/decisions/0001-four-product-boundary.md	Run each product's boundary tests and require a separate accepted owner and gate before baseline approval.
R12-M09	12-manifest#9	spicysearch	src/spicysearch/text_retrieval.py; src/spicysearch/semantic_lane.py; src/spicysearch/retrieval_lanes.py	Sparse, dense, and hybrid search implementation remains directionally SpicySearch-owned, with current release-scoped lanes replacing the mixed predecessor runtime.	durable-current-reference	spicysearch@027a79cebf59:src/spicysearch/text_retrieval.py; spicysearch@027a79cebf59:src/spicysearch/semantic_lane.py; spicysearch@027a79cebf59:src/spicysearch/retrieval_lanes.py	Rerun lexical, semantic, hybrid, replay, and eligibility tests; archived SPLADE and rerank experiments remain separate.
R12-M10	12-manifest#10	spicy-regs-landing; DocSpec; rulespec	docs/migration/spicysearch-product-migration-manifest.json; src/spicy_regs/docpipeline/rkaf_projection.py	Portable RKAF shapes remain Rulespec Core, but source representations and fragments now belong to DocSpec rather than SpicyRegs; mixed projection ownership in the manifest is superseded.	superseded	rulespec@93ae44d906be:constraints/core/; DocSpec@444f8ec283a7:src/docspec/domain/content.py; RefSpec@3464bda29d08:docs/decisions.md	Rerun Rulespec carrier conformance and DocSpec evidence-mapping tests without inferring cross-product derivation authority.
R12-M11	12-manifest#11	RefSpec; rulespec; spicysearch	src/refspec/atlas/; release-records/schemas/extrapolation-release-v2/; src/spicysearch/topic_tags.py	Concept registry, candidate channels, ontology materialization, receipts, and evaluations remain directionally divided among current RefSpec managed releases, Rulespec Extrapolator assertions, and SpicySearch read models.	durable-current-reference	RefSpec@3464bda29d08:src/refspec/atlas/; rulespec@93ae44d906be:release-records/schemas/extrapolation-release-v2/; spicysearch@027a79cebf59:src/spicysearch/topic_tags.py	Rerun current artifact admission and product-boundary tests before moving any remaining historical component.
R12-M12	12-manifest#12	spicy-regs-landing; RefSpec	docs/migration/spicysearch-product-migration-manifest.json; src/spicy_regs/ontology/vocabulary_atlas*.py; tools/build_vocabulary_atlas.py	RefSpec ownership remains correct, but the named bindings/atlas/1.0 destination is obsolete after Atlas 1.0 and 2.0 retirement and Atlas 3.1 adoption.	superseded	RefSpec@3464bda29d08:src/refspec/atlas/; RefSpec@3464bda29d08:tests/test_atlas_v3_binding.py; RefSpec@3464bda29d08:docs/decisions.md	Rerun Atlas 3.1 binding and managed-release tests; do not recreate retired binding directories.
R12-M13	12-manifest#13	RefSpec; rulespec	src/refspec/managed_release.py; src/refspec/atlas_index.py; release-records/schemas/extrapolation-release-v2/	Managed-release lookup and product-local Atlas readers remain in RefSpec, while accepted evidence-bound assignments have a current Rulespec Extrapolator release shape.	durable-current-reference	RefSpec@3464bda29d08:src/refspec/managed_release.py; RefSpec@3464bda29d08:src/refspec/atlas_index.py; rulespec@93ae44d906be:release-records/schemas/extrapolation-release-v2/	Rerun current release verification and extrapolation conformance; preserve predecessor wrappers only as copied history.
R12-M14	12-manifest#14	spicy-regs-landing; RefSpec	docs/migration/spicysearch-product-migration-manifest.json; RefSpec/research/evidence/ladybug-vocabulary-atlas-spike-2026-07-31/; RefSpec/research/evidence/vocabulary-atlas-graph-experiment-2026-07-31.md; RefSpec/research/evidence/vocabulary-atlas-graphdb-v5/	The migration disposition survives in the landing snapshot, while the LadybugDB spike, graph configuration, and vocabulary-atlas experiment survive at exact RefSpec paths; none authorizes a graph serving design.	durable-current-reference	source-snapshots/spicy-regs-landing-main-31a4bfe.tar.gz; RefSpec@3464bda29d08:research/evidence/ladybug-vocabulary-atlas-spike-2026-07-31/; RefSpec@3464bda29d08:research/evidence/vocabulary-atlas-graph-experiment-2026-07-31.md; RefSpec@3464bda29d08:research/evidence/vocabulary-atlas-graphdb-v5/	Require a new architecture decision and measured need before any graph adoption.
R12-M15	12-manifest#15	spicy-regs-landing; RefSpec	docs/migration/spicysearch-product-migration-manifest.json; RefSpec/; output/refspec-vocabulary-portfolio/federal-register-thesaurus-1995/	The 1995 Federal Register thesaurus survives only as historical evidence; its 1995-to-2025 crosswalk is not authorized as an active mapping or managed-vocabulary output.	superseded	RefSpec@3464bda29d08:research/source-vocabulary-ontology-thesaurus-catalog-2026-07-28.md; RefSpec@3464bda29d08:docs/decisions.md	Verify historical bytes when replaying lineage; require new qualification before using any crosswalk.
R12-M16	12-manifest#16	spicy-regs-landing; DocSpec	docs/migration/spicysearch-product-migration-manifest.json; src/spicy_regs/document_release.py; src/spicy_regs/fixtures/*.json	The dirty August 27 manifest correctly moves the repository-independent predecessor release to DocSpec, whose current DocumentRelease implementation supersedes the stale not-yet-moved status.	superseded	DocSpec@444f8ec283a7:src/docspec/domain/release.py; DocSpec@444f8ec283a7:src/docspec/adapters/storage.py; RefSpec@3464bda29d08:docs/decisions.md	Rerun current DocSpec release conformance; use copied predecessor fixtures only for explicit migration replay.
R12-R01	12-reproducible#1	spicy-regs	notebooks/README.md; notebooks/*.ipynb	All 13 tracked notebooks and their README survive unchanged on origin/main, preserving substring, BM25, vector, reciprocal-rank fusion, campaign, and sentiment methods; exact outputs are not reproducible from mutable public URLs without input pins.	reproducible	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:notebooks/README.md; spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:notebooks/	Resolve every external input to an immutable digest before rerunning a notebook or claiming output parity.
R12-R02	12-reproducible#2	DocSpec	src/docspec/domain/source_catalog.py; src/docspec/application/catalog_policy.py; src/docspec/processing/segmentation.py; src/docspec/domain/release.py	Current DocSpec can regenerate source-catalog, sampling, join, source-state, capture, segmentation, and DocumentRelease behavior from new sealed inputs, but cannot recreate the archived release's exact membership from mutable upstream sources.	reproducible	DocSpec@444f8ec283a7:src/docspec/domain/source_catalog.py; DocSpec@444f8ec283a7:src/docspec/application/catalog_policy.py; DocSpec@444f8ec283a7:src/docspec/processing/segmentation.py; DocSpec@444f8ec283a7:src/docspec/domain/release.py; ../../../_preserved-2026-08-27/landing-output	Run current conformance over new sealed inputs; use the copied landing release for exact historical membership.
R12-R03	12-reproducible#3	rulespec	packages/rulespec-artifacts/; constraints/core/; release-records/fixtures/	Rulespec preserves generic artifact validation plus current Core and Extrapolator fixtures, so the abandoned v3 pair is behaviorally replaceable for new conformance work but not byte-for-byte historical replay.	reproducible	rulespec@93ae44d906be:packages/rulespec-artifacts/; rulespec@93ae44d906be:constraints/core/; rulespec@93ae44d906be:release-records/fixtures/	Run current artifact and carrier conformance; use copied v3 fixtures only for explicit historical replay.
R12-R04	12-reproducible#4	RefSpec	src/refspec/atlas/; src/refspec/registry/; tests/fixtures/	RefSpec preserves authoritative publisher captures, current Atlas 3.1 machinery, selected CBO, FCC, OpenAPI, and XSD pins, and the 1995 thesaurus as historical evidence; obsolete fused registries and applicability outputs are not current authority.	reproducible	RefSpec@3464bda29d08:src/refspec/atlas/; RefSpec@3464bda29d08:src/refspec/registry/; RefSpec@3464bda29d08:tests/fixtures/; RefSpec@3464bda29d08:docs/decisions.md	Rerun current managed-release and Atlas conformance; require explicit qualification for any historical crosswalk.
R12-R05	12-reproducible#5	spicysearch	src/spicysearch/text_retrieval.py; src/spicysearch/semantic_lane.py; src/spicysearch/retrieval_lanes.py; src/spicysearch/topic_tags.py; fixtures/releases/date-events-full-pin.json; research/; scripts/	Current SpicySearch retains lexical, dense, hybrid, replay, tagging, and evaluation implementations; archived measurements become reproducible only after absolute SpicyRegs paths are replaced by the copied sealed inputs.	reproducible	spicysearch@027a79cebf59:src/spicysearch/text_retrieval.py; spicysearch@027a79cebf59:src/spicysearch/semantic_lane.py; spicysearch@027a79cebf59:src/spicysearch/retrieval_lanes.py; spicysearch@027a79cebf59:src/spicysearch/topic_tags.py; ../../../_preserved-2026-08-27/spicy-regs-output-complete	Replace absolute paths with declared input pins, then rerun the exact research command and compare receipts; this is future reproducibility work.
R12-R06	12-reproducible#6	spicy-regs	.github/workflows/	Workflows unchanged from origin/main and their existing schedules remain reproducible there; the unique new timings, MCP smoke budget, ontology schedule, and documentation-publication exception are preserved separately in R12-D05A through R12-D05C.	reproducible	spicy-regs@b190d38a874ff97db0fe4b1f25701790e90f2c6b:.github/workflows/	Validate workflow syntax and dry-run triggers in a safe environment; do not activate copied schedules through preservation closure.
